OBJID,INADDR,INZONE,MatchAddress,Zone,Score,XCoord,YCoord,Geocoder
115,651 N 300 E, 84501,651 N 300 E, PRICE,100.0,516684.418814,4384573.11373,Centerlines.StatewideRoads
116,2 N 400 E, 84501,2 N 400 E, PRICE,100.0,516880.759143,4383340.96452,Centerlines.StatewideRoads
117,98 N 400 E, 84501,98 N 400 E, PRICE,100.0,516878.326687,4383485.23369,Centerlines.StatewideRoads
118,50 N 400 E, 84501,50 N 400 E, PRICE,100.0,516879.542915,4383413.09911,Centerlines.StatewideRoads
119,100 N 400 E, 84501,100 N 400 E, PRICE,100.0,516878.280441,4383500.88803,Centerlines.StatewideRoads
120,198 N 400 E, 84501,198 N 400 E, PRICE,100.0,516879.85808,4383645.88631,Centerlines.StatewideRoads
121,150 N 400 E, 84501,150 N 400 E, PRICE,100.0,516879.085359,4383574.86675,Centerlines.StatewideRoads
122,200 N 400 E, 84501,200 N 400 E, PRICE,100.0,516880.043255,4383663.48136,Centerlines.StatewideRoads
123,298 N 400 E, 84501,298 N 400 E, PRICE,100.0,516881.796886,4383835.01667,Centerlines.StatewideRoads
124,250 N 400 E, 84501,250 N 400 E, PRICE,100.0,516880.937965,4383750.99938,Centerlines.StatewideRoads
125,300 N 400 E, 84501,300 N 400 E, PRICE,100.0,516881.758452,4383853.50545,Centerlines.StatewideRoads
126,398 N 400 E, 84501,398 N 400 E, PRICE,100.0,516878.528911,4384115.28535,Centerlines.StatewideRoads
127,350 N 400 E, 84501,350 N 400 E, PRICE,100.0,516880.203214,4383952.38795,Centerlines.StatewideRoads
128,600 N 400 E, 84501,600 N 400 E, PRICE,100.0,516841.335744,4384480.27363,Centerlines.StatewideRoads
129,698 N 400 E, 84501,698 N 400 E, PRICE,100.0,516840.254653,4384665.49229,Centerlines.StatewideRoads
130,650 N 400 E, 84501,650 N 400 E, PRICE,100.0,516840.784167,4384574.77295,Centerlines.StatewideRoads
131,101 N 400 E, 84501,101 N 400 E, PRICE,100.0,516848.282217,4383501.21443,Centerlines.StatewideRoads
132,199 N 400 E, 84501,199 N 400 E, PRICE,100.0,516849.859856,4383646.2127,Centerlines.StatewideRoads
133,151 N 400 E, 84501,151 N 400 E, PRICE,100.0,516849.087135,4383575.19314,Centerlines.StatewideRoads
134,201 N 400 E, 84501,201 N 400 E, PRICE,100.0,516850.044823,4383663.78804,Centerlines.StatewideRoads
135,299 N 400 E, 84501,299 N 400 E, PRICE,100.0,516851.798454,4383835.32334,Centerlines.StatewideRoads
136,251 N 400 E, 84501,251 N 400 E, PRICE,100.0,516850.939532,4383751.30605,Centerlines.StatewideRoads
137,301 N 400 E, 84501,301 N 400 E, PRICE,100.0,516851.762162,4383853.03367,Centerlines.StatewideRoads
138,399 N 400 E, 84501,399 N 400 E, PRICE,100.0,516848.529596,4384115.08248,Centerlines.StatewideRoads
139,351 N 400 E, 84501,351 N 400 E, PRICE,100.0,516850.206924,4383951.91616,Centerlines.StatewideRoads
140,601 N 400 E, 84501,601 N 400 E, PRICE,100.0,516811.336255,4384480.09853,Centerlines.StatewideRoads
141,699 N 400 E, 84501,699 N 400 E, PRICE,100.0,516810.255164,4384665.31719,Centerlines.StatewideRoads
142,651 N 400 E, 84501,651 N 400 E, PRICE,100.0,516810.784678,4384574.59784,Centerlines.StatewideRoads
143,2 N 500 E, 84501,2 N 500 E, PRICE,100.0,517041.863727,4383341.93925,Centerlines.StatewideRoads
144,98 N 500 E, 84501,98 N 500 E, PRICE,100.0,517041.323181,4383485.66787,Centerlines.StatewideRoads
145,50 N 500 E, 84501,50 N 500 E, PRICE,100.0,517041.593454,4383413.80356,Centerlines.StatewideRoads
146,300 N 500 E, 84501,300 N 500 E, PRICE,100.0,517073.142298,4383856.78435,Centerlines.StatewideRoads
147,398 N 500 E, 84501,398 N 500 E, PRICE,100.0,517073.805942,4384117.10245,Centerlines.StatewideRoads
148,350 N 500 E, 84501,350 N 500 E, PRICE,100.0,517073.841279,4383988.21457,Centerlines.StatewideRoads
149,301 N 500 E, 84501,301 N 500 E, PRICE,100.0,517043.142722,4383856.94389,Centerlines.StatewideRoads
150,359 N 500 E, 84501,359 N 500 E, PRICE,100.0,517040.988234,4384002.98414,AddressPoints.AddressGrid
151,331 N 500 E, 84501,331 N 500 E, PRICE,100.0,517041.126972,4383936.39684,AddressPoints.AddressGrid
152,361 N 500 E, 84501,361 N 500 E, PRICE,100.0,517043.988276,4384022.98934,Centerlines.StatewideRoads
153,399 N 500 E, 84501,399 N 500 E, PRICE,100.0,517043.805999,4384117.04431,Centerlines.StatewideRoads
154,300 N 500 W, 84501,300 N 500 W, PRICE,100.0,515602.943949,4383760.96605,Centerlines.StatewideRoads
155,398 N 500 W, 84501,398 N 500 W, PRICE,100.0,515602.045135,4383867.97527,Centerlines.StatewideRoads
156,350 N 500 W, 84501,350 N 500 W, PRICE,100.0,515602.48537,4383815.56259,Centerlines.StatewideRoads
157,301 N 500 W, 84501,301 N 500 W, PRICE,100.0,515572.945007,4383760.71408,Centerlines.StatewideRoads
158,399 N 500 W, 84501,399 N 500 W, PRICE,100.0,515572.046193,4383867.7233,Centerlines.StatewideRoads
159,351 N 500 W, 84501,351 N 500 W, PRICE,100.0,515572.486429,4383815.31062,Centerlines.StatewideRoads
160,401 N 500 W, 84501,401 N 500 E, PRICE,90.97,517043.780949,4384125.98854,Centerlines.StatewideRoads
161,499 N 500 W, 84501,499 W 500 S, PRICE,81.94,515600.021946,4382483.23717,Centerlines.StatewideRoads
162,451 N 500 W, 84501,451 W 500 S, PRICE,81.94,515645.816222,4382483.94965,Centerlines.StatewideRoads
163,100 N 600 E, 84501,100 N 600 E, PRICE,100.0,517201.560135,4383499.99365,Centerlines.StatewideRoads
164,199 N 600 E, 84501,199 N 600 E, PRICE,100.0,517149.343587,4383655.93392,Centerlines.StatewideRoads
165,200 N 600 E, 84501,200 N 600 E, PRICE,100.0,517178.852767,4383669.41633,Centerlines.StatewideRoads
166,298 N 600 E, 84501,298 N 600 E, PRICE,100.0,517176.238034,4383842.12701,Centerlines.StatewideRoads
167,250 N 600 E, 84501,250 N 600 E, PRICE,100.0,517177.51872,4383757.53402,Centerlines.StatewideRoads
168,300 N 600 E, 84501,300 N 600 E, PRICE,100.0,517176.005521,4383859.39369,Centerlines.StatewideRoads
169,350 N 600 E, 84501,350 N 600 E, PRICE,100.0,517178.41515,4383969.99918,AddressPoints.AddressGrid
170,326 N 600 E, 84501,326 N 600 E, PRICE,100.0,517175.295486,4383921.75,Centerlines.StatewideRoads
171,352 N 600 E, 84501,352 N 600 E, PRICE,100.0,517174.585451,4383984.10632,Centerlines.StatewideRoads
172,398 N 600 E, 84501,398 N 600 E, PRICE,100.0,517221.063208,4384092.16492,AddressPoints.AddressGrid
173,376 N 600 E, 84501,376 N 600 E, PRICE,100.0,517198.728468,4384045.62582,Centerlines.StatewideRoads
174,1 N 600 E, 84501,1 N 600 E, PRICE,100.0,517176.187644,4383341.78265,Centerlines.StatewideRoads
175,99 N 600 E, 84501,99 N 600 E, PRICE,100.0,517172.315827,4383483.89592,Centerlines.StatewideRoads
176,51 N 600 E, 84501,51 N 600 E, PRICE,100.0,517174.212227,4383414.28942,Centerlines.StatewideRoads
177,201 N 600 E, 84501,201 N 600 E, PRICE,100.0,517148.856205,4383668.9622,Centerlines.StatewideRoads
178,299 N 600 E, 84501,299 N 600 E, PRICE,100.0,517146.241471,4383841.67288,Centerlines.StatewideRoads
179,251 N 600 E, 84501,251 N 600 E, PRICE,100.0,517147.522157,4383757.07989,Centerlines.StatewideRoads
180,301 N 600 E, 84501,301 N 600 E, PRICE,100.0,517146.007466,4383859.05211,Centerlines.StatewideRoads
181,399 N 600 E, 84501,399 N 600 E, PRICE,100.0,517185.029815,4384116.83069,Centerlines.StatewideRoads
182,351 N 600 E, 84501,351 N 600 E, PRICE,100.0,517144.642014,4383978.9681,Centerlines.StatewideRoads
183,300 N 600 W, 84501,300 N 600 W, PRICE,100.0,515524.011666,4383762.15029,Centerlines.StatewideRoads
184,398 N 600 W, 84501,398 N 600 W, PRICE,100.0,515522.478025,4383867.1796,Centerlines.StatewideRoads
185,350 N 600 W, 84501,350 N 600 W, PRICE,100.0,515523.229196,4383815.73667,Centerlines.StatewideRoads
186,301 N 600 W, 84501,301 N 600 W, PRICE,100.0,515494.014864,4383761.71228,Centerlines.StatewideRoads
187,399 N 600 W, 84501,399 N 600 W, PRICE,100.0,515492.481223,4383866.74159,Centerlines.StatewideRoads
188,351 N 600 W, 84501,351 N 600 W, PRICE,100.0,515493.232394,4383815.29866,Centerlines.StatewideRoads
